編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
10,049291,光磊永豐14購02,4,最近六個營業日累積收盤價跌幅達38.49%﹝第一款﹞。,111.03.15,2.72      ,-----     
10,049291,光磊永豐14購02,4,最近六個營業日累積收盤價跌幅達45.15%﹝第一款﹞。,111.03.14,3.14      ,-----     
10,049291,光磊永豐14購02,4,最近六個營業日累積收盤價跌幅達46.02%﹝第一款﹞。,111.03.11,3.02      ,-----     
10,049291,光磊永豐14購02,4,最近六個營業日累積收盤價跌幅達39.04%﹝第一款﹞。,111.03.10,3.99      ,-----     
11,049464,宏達電國泰16購03,1,最近六個營業日累積收盤價跌幅達35.82%﹝第一款﹞。,111.01.21,3.22      ,-----     
12,050550,台勝科永豐15購01,5,最近六個營業日累積收盤價跌幅達38.14%﹝第一款﹞。,111.04.20,1.36      ,-----     
12,050550,台勝科永豐15購01,5,最近六個營業日累積收盤價跌幅達47.55%﹝第一款﹞。,111.04.19,1.39      ,-----     
12,050550,台勝科永豐15購01,5,最近六個營業日累積收盤價跌幅達55.01%﹝第一款﹞。,111.04.18,1.61      ,-----     
12,050550,台勝科永豐15購01,5,最近六個營業日累積收盤價跌幅達48.86%﹝第一款﹞。,111.04.15,2.27      ,-----     
12,050550,台勝科永豐15購01,5,最近六個營業日累積收盤價跌幅達38.93%﹝第一款﹞。,111.04.14,3.44      ,-----     
13,054196,元石油凱基1A購01,4,最近六個營業日累積收盤價跌幅達36.79%﹝第一款﹞。,111.09.29,4.28      ,-----     
13,054196,元石油凱基1A購01,4,最近六個營業日累積收盤價跌幅達41.41%﹝第一款﹞。,111.09.28,3.52      ,-----     
13,054196,元石油凱基1A購01,4,最近六個營業日累積收盤價跌幅達41.41%﹝第一款﹞。,111.09.27,3.52      ,-----     
13,054196,元石油凱基1A購01,4,最近六個營業日累積收盤價跌幅達40.39%﹝第一款﹞。,111.09.26,3.69      ,-----     
14,057098,SGBR2X凱基1C購01,1,最近六個營業日累積收盤價跌幅達33.65%﹝第一款﹞。,111.09.08,3.93      ,-----     
15,058500,元石油富邦19購01,2,最近六個營業日累積收盤價跌幅達47.04%﹝第一款﹞。,111.03.16,2.34      ,-----     
15,058500,元石油富邦19購01,2,最近六個營業日累積收盤價漲幅達53.83%﹝第一款﹞。,111.03.08,8.50      ,-----     
16,058855,東鹼凱基17購02,3,最近六個營業日累積收盤價跌幅達37.65%﹝第一款﹞。,111.06.28,2.93      ,-----     
16,058855,東鹼凱基17購02,3,最近六個營業日累積收盤價跌幅達39.08%﹝第一款﹞。,111.06.27,4.36      ,-----     
16,058855,東鹼凱基17購02,3,最近六個營業日累積收盤價跌幅達39.08%﹝第一款﹞。,111.06.24,4.36      ,-----     
17,060199,華新永豐17購01,3,最近六個營業日累積收盤價跌幅達36.01%﹝第一款﹞。,111.07.08,2.53      ,-----     
17,060199,華新永豐17購01,3,最近六個營業日累積收盤價跌幅達35.16%﹝第一款﹞。,111.07.07,2.65      ,-----     
17,060199,華新永豐17購01,3,最近六個營業日累積收盤價跌幅達36.32%﹝第一款﹞。,111.07.06,2.49      ,-----     
18,063817,宏達電元富22購04,1,最近六個營業日累積收盤價跌幅達39.65%﹝第一款﹞。,111.08.09,0.54      ,-----     
19,064696,華新日盛18購01,1,最近六個營業日累積收盤價跌幅達33.80%﹝第一款﹞。,111.07.06,3.07      ,-----     
20,064797,東鹼凱基19購01,2,最近六個營業日累積收盤價跌幅達33.65%﹝第一款﹞。,111.06.28,3.96      ,-----     
20,064797,東鹼凱基19購01,2,最近六個營業日累積收盤價跌幅達32.67%﹝第一款﹞。,111.06.27,4.20      ,-----     
21,066126,華新兆豐19購01,1,最近六個營業日累積收盤價跌幅達32.38%﹝第一款﹞。,111.07.04,1.49      ,-----     
22,069321,新唐凱基19購08,2,最近六個營業日累積收盤價漲幅達33.65%﹝第一款﹞。,111.04.28,20.00     ,-----     
22,069321,新唐凱基19購08,2,最近六個營業日累積收盤價漲幅達38.23%﹝第一款﹞。,111.04.25,15.60     ,-----     
23,070688,寶齡國票1C購01,2,最近六個營業日累積收盤價漲幅達38.33%﹝第一款﹞。,111.05.19,8.25      ,-----     
23,070688,寶齡國票1C購01,2,最近六個營業日累積收盤價漲幅達45.34%﹝第一款﹞。,111.05.18,9.85      ,-----     
24,077999,大立光凱基1C購18,4,最近六個營業日累積收盤價跌幅達36.40%﹝第一款﹞。,111.08.25,3.75      ,-----     
24,077999,大立光凱基1C購18,4,最近六個營業日累積收盤價跌幅達48.00%﹝第一款﹞。,111.08.24,3.44      ,-----     
24,077999,大立光凱基1C購18,4,最近六個營業日累積收盤價漲幅達36.93%﹝第一款﹞。,111.07.22,10.80     ,-----     
24,077999,大立光凱基1C購18,4,最近六個營業日累積收盤價漲幅達32.77%﹝第一款﹞。,111.07.20,9.25      ,-----     
25,078296,威盛永豐1C購01,2,最近六個營業日累積收盤價跌幅達38.36%﹝第一款﹞。,111.10.19,2.32      ,-----     
25,078296,威盛永豐1C購01,2,最近六個營業日累積收盤價跌幅達36.10%﹝第一款﹞。,111.10.17,2.55      ,-----     
26,081981,元油反第一26購01,2,最近六個營業日累積收盤價跌幅達50.64%﹝第一款﹞。,111.09.27,1.08      ,-----     
26,081981,元油反第一26購01,2,最近六個營業日累積收盤價漲幅達53.92%﹝第一款﹞。,111.09.19,2.19      ,-----     
27,082929,世芯康和24購01,2,最近六個營業日累積收盤價跌幅達37.94%﹝第一款﹞。,111.10.04,2.69      ,-----     
27,082929,世芯康和24購01,2,最近六個營業日累積收盤價漲幅達39.30%﹝第一款﹞。,111.09.22,8.10      ,-----     
28,087272,世紀鋼富邦26購01,3,最近六個營業日累積收盤價跌幅達33.70%﹝第一款﹞。,111.12.14,1.83      ,-----     
28,087272,世紀鋼富邦26購01,3,最近六個營業日累積收盤價跌幅達44.73%﹝第一款﹞。,111.12.13,1.73      ,-----     
28,087272,世紀鋼富邦26購01,3,最近六個營業日累積收盤價跌幅達36.05%﹝第一款﹞。,111.12.12,1.65      ,-----     
29,087334,道瓊銀凱基2A購01,1,最近六個營業日累積收盤價跌幅達42.39%﹝第一款﹞。,111.10.19,0.69      ,-----     
30,087708,元日2X凱基29購01,1,最近六個營業日累積收盤價跌幅達32.21%﹝第一款﹞。,111.10.25,0.56      ,-----     
31,088059,道瓊反凱基29購01,1,最近六個營業日累積收盤價跌幅達44.31%﹝第一款﹞。,111.10.31,0.45      ,-----     
32,088187,欣興第一29購02,1,最近六個營業日累積收盤價漲幅達37.78%﹝第一款﹞。,111.11.02,1.98      ,-----     
33,088188,南電第一25購02,1,最近六個營業日累積收盤價漲幅達37.79%﹝第一款﹞。,111.11.02,2.40      ,-----     
34,088777,道瓊反凱基2B購01,1,最近六個營業日累積收盤價跌幅達34.71%﹝第一款﹞。,111.11.14,0.45      ,-----     
35,088965,道瓊反凱基2A購01,1,最近六個營業日累積收盤價跌幅達32.42%﹝第一款﹞。,111.11.16,0.69      ,-----     
36,089409,道瓊反凱基2A購02,1,最近六個營業日累積收盤價跌幅達32.07%﹝第一款﹞。,111.11.22,0.48      ,-----     
37,1203,味王,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.42倍。當日之成交量較最近六十個營業日之平均成交量放大為 18.84倍﹝第九款﹞。,111.06.16,34.00     ,17.62     
38,1217,愛之味,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.58倍。當日之成交量較最近六十個營業日之平均成交量放大為6.72倍﹝第九款﹞。,111.04.20,12.95     ,31.59     
39,1218,泰山,2,08月03日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率17.73%，且08月03日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為12.72 倍﹝第十二款﹞,111.08.04,30.50     ,26.07     
39,1218,泰山,2,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.57倍。當日之成交量較最近六十個營業日之平均成交量放大為 23.64倍﹝第九款﹞。,111.04.18,30.95     ,25.37     
40,1219,福壽,3,最近六個營業日累積收盤價漲幅達25.26%。且04月21日之成交量為最近六十個營業日日平均成交量之10.85 倍﹝第三款﹞。且04月21日之週轉率為17.30%﹝第四款﹞。,111.04.21,27.65     ,27.65     
40,1219,福壽,3,最近六個營業日累積收盤價漲幅達26.25%。且04月18日之成交量為最近六十個營業日日平均成交量之16.55 倍﹝第三款﹞。且04月18日之週轉率為14.85%﹝第四款﹞。,111.04.18,25.20     ,25.20     
40,1219,福壽,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.49倍。當日之成交量較最近六十個營業日之平均成交量放大為8.29倍﹝第九款﹞。,111.04.14,22.60     ,22.60     
41,1220,台榮,4,最近六個營業日累積收盤價漲幅達32.82%﹝第一款﹞。且04月22日之成交量為最近六十個營業日日平均成交量之7.42倍﹝第三款﹞。且04月22日之週轉率為14.93%﹝第四款﹞。04月21日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.33%，且04月21日當日沖銷成交量占該日總成交量比率67.97%﹝第十三款﹞,111.04.22,24.50     ,24.50     
41,1220,台榮,4,最近六個營業日累積收盤價漲幅達35.17%﹝第一款﹞。且04月21日之成交量為最近六十個營業日日平均成交量之13.94 倍﹝第三款﹞。且04月21日之週轉率為24.60%﹝第四款﹞。,111.04.21,24.30     ,24.30     
41,1220,台榮,4,最近六個營業日累積收盤價漲幅達30.76%。且04月20日之成交量為最近六十個營業日日平均成交量之14.91 倍﹝第三款﹞。且04月20日之週轉率為20.23%﹝第四款﹞。且04月20日凱基證券商買進之比率為36.38%﹝第五款﹞。,111.04.20,23.40     ,23.40     
41,1220,台榮,4,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.46倍。當日之成交量較最近六十個營業日之平均成交量放大為 22.10倍﹝第九款﹞。,111.04.18,21.60     ,21.60     
42,1229,聯華,1,04月26日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率12.34%，且04月26日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.69倍﹝第十二款﹞,111.04.27,55.80     ,19.11     
43,1235,興泰,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.65倍。當日之成交量較最近六十個營業日之平均成交量放大為 12.85倍﹝第九款﹞。,111.04.29,53.00     ,65.43     
44,1236,宏亞,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.32倍。當日之成交量較最近六十個營業日之平均成交量放大為6.98倍﹝第九款﹞。,111.06.15,29.50     ,9.58      
45,1301,台塑,1,07月04日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率12.40%，且07月04日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為10.85 倍﹝第十二款﹞,111.07.05,94.00     ,8.20      
46,1312A,國喬特,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為8.25倍。當日之成交量較最近六十個營業日之平均成交量放大為 30.20倍﹝第九款﹞。,111.07.12,32.20     ,-----     
47,1313,聯成,3,03月23日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率18.30%，且03月23日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為6.01倍﹝第十二款﹞,111.03.24,18.90     ,11.52     
47,1313,聯成,3,03月22日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率18.17%，且03月22日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為6.64倍﹝第十二款﹞,111.03.23,20.00     ,12.20     
47,1313,聯成,3,03月21日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率15.13%，且03月21日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為7.17倍﹝第十二款﹞,111.03.22,19.80     ,12.07     
48,1314,中石化,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.10倍。當日之成交量較最近六十個營業日之平均成交量放大為7.62倍﹝第九款﹞。,111.04.07,13.05     ,13.74     
49,1315,達新,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.37倍。當日之成交量較最近六十個營業日之平均成交量放大為 13.20倍﹝第九款﹞。,111.11.14,67.50     ,9.15      
50,1316,上曜,2,最近六個營業日累積收盤價漲幅達27.13%。且01月19日之成交量為最近六十個營業日日平均成交量之6.50倍﹝第三款﹞。且01月19日之週轉率為47.51%﹝第四款﹞。01月18日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.57%，且01月18日當日沖銷成交量占該日總成交量比率73.71%﹝第十三款﹞,111.01.19,26.65     ,-----     
50,1316,上曜,2,最近六個營業日之累積週轉率為80.08%。且01月18日之週轉率為52.35%﹝第十款﹞。,111.01.18,24.85     ,-----     
51,1319,東陽,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.57倍。當日之成交量較最近六十個營業日之平均成交量放大為 13.76倍﹝第九款﹞。,111.05.20,38.15     ,30.52     
52,1325,恆大,7,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.25倍。當日之成交量較最近六十個營業日之平均成交量放大為6.50倍﹝第九款﹞。,111.12.21,27.15     ,63.14     
52,1325,恆大,7,01月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率75.64%，且01月24日當日沖銷成交量占該日總成交量比率81.06%﹝第十三款﹞,111.01.25,50.60     ,5.25      
52,1325,恆大,7,01月14日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率70.46%，且01月14日當日沖銷成交量占該日總成交量比率84.03%﹝第十三款﹞,111.01.17,55.80     ,5.79      
52,1325,恆大,7,01月13日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率66.73%，且01月13日當日沖銷成交量占該日總成交量比率77.34%﹝第十三款﹞,111.01.14,55.00     ,5.71      
52,1325,恆大,7,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.44倍。當日之成交量較最近六十個營業日之平均成交量放大為8.09倍﹝第九款﹞。01月12日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.63%，且01月12日當日沖銷成交量占該日總成交量比率79.05%﹝第十三款﹞,111.01.13,57.00     ,5.91      
52,1325,恆大,7,最近六個營業日之累積週轉率為65.69%。且01月11日之週轉率為23.33%﹝第十款﹞。,111.01.11,52.30     ,5.43      
52,1325,恆大,7,最近六個營業日累積收盤價漲幅達25.48%。且01月10日元大證券商買進之比率為48.66%﹝第五款﹞。,111.01.10,58.10     ,6.03      
53,1339,昭輝,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.30倍。當日之成交量較最近六十個營業日之平均成交量放大為 10.77倍﹝第九款﹞。,111.05.23,39.85     ,15.39     
54,1342,八貫,6,最近六個營業日累積收盤價漲幅達37.97%﹝第一款﹞。,111.12.09,136.00    ,21.25     
54,1342,八貫,6,最近六個營業日累積收盤價漲幅達42.67%﹝第一款﹞。且12月08日之週轉率為10.27%﹝第四款﹞。12月07日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.74%，且12月07日當日沖銷成交量占該日總成交量比率76.79%﹝第十三款﹞,111.12.08,134.50    ,21.02     
54,1342,八貫,6,最近六個營業日累積收盤價漲幅達34.81%﹝第一款﹞。且12月07日之成交量為最近六十個營業日日平均成交量之10.54 倍﹝第三款﹞。且12月07日之週轉率為30.48%﹝第四款﹞。,111.12.07,122.50    ,19.14     
54,1342,八貫,6,最近六個營業日累積收盤價漲幅達37.03%﹝第一款﹞。且12月06日元富證券商買進之比率為45.41%﹝第五款﹞。,111.12.06,125.00    ,19.53     
54,1342,八貫,6,10月21日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.60%，且10月21日當日沖銷成交量占該日總成交量比率73.10%﹝第十三款﹞,111.10.24,85.30     ,14.94     
54,1342,八貫,6,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.22倍。當日之成交量較最近六十個營業日之平均成交量放大為8.73倍﹝第九款﹞。,111.10.20,87.70     ,15.36     
55,1413,宏洲,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.32倍。當日之成交量較最近六十個營業日之平均成交量放大為 16.61倍﹝第九款﹞。,111.08.08,11.80     ,8.37      
56,1417,嘉裕,5,12月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率70.89%，且12月27日當日沖銷成交量占該日總成交量比率80.09%﹝第十三款﹞,111.12.28,14.70     ,-----     
56,1417,嘉裕,5,最近六個營業日累積收盤價漲幅達26.26%。且11月30日之成交量為最近六十個營業日日平均成交量之24.04 倍﹝第三款﹞。且11月30日之週轉率為23.45%﹝第四款﹞。,111.11.30,15.30     ,-----     
56,1417,嘉裕,5,最近六個營業日累積收盤價漲幅達29.92%。且11月29日之成交量為最近六十個營業日日平均成交量之22.98 倍﹝第三款﹞。且11月29日之週轉率為13.45%﹝第四款﹞。,111.11.29,15.95     ,-----     
56,1417,嘉裕,5,最近六個營業日累積收盤價漲幅達29.50%。且11月28日之成交量為最近六十個營業日日平均成交量之23.64 倍﹝第三款﹞。,111.11.28,14.50     ,-----     
56,1417,嘉裕,5,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.02倍。當日之成交量較最近六十個營業日之平均成交量放大為 11.58倍﹝第九款﹞。,111.11.25,13.20     ,-----     
57,1418,東華,1,最近六個營業日累積收盤價漲幅達32.72%﹝第一款﹞。,111.01.07,14.50     ,-----     
58,1432,大魯閣,6,最近六個營業日累積收盤價漲幅達39.01%﹝第一款﹞。且03月24日之成交量為最近六十個營業日日平均成交量之8.56倍﹝第三款﹞。,111.03.24,17.60     ,-----     
58,1432,大魯閣,6,最近六個營業日累積收盤價漲幅達58.84%﹝第一款﹞。且03月23日之成交量為最近六十個營業日日平均成交量之5.61倍﹝第三款﹞。,111.03.23,19.55     ,-----     
58,1432,大魯閣,6,最近六個營業日累積收盤價漲幅達47.69%﹝第一款﹞。且03月22日之成交量為最近六十個營業日日平均成交量之8.88倍﹝第三款﹞。,111.03.22,17.80     ,-----     
58,1432,大魯閣,6,最近六個營業日累積收盤價漲幅達37.38%﹝第一款﹞。且03月21日之成交量為最近六十個營業日日平均成交量之10.12 倍﹝第三款﹞。,111.03.21,16.20     ,-----     
58,1432,大魯閣,6,最近六個營業日累積收盤價漲幅達27.12%。且03月18日之成交量為最近六十個營業日日平均成交量之18.09 倍﹝第三款﹞。,111.03.18,14.75     ,-----     
58,1432,大魯閣,6,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.02倍。當日之成交量較最近六十個營業日之平均成交量放大為 18.37倍﹝第九款﹞。,111.03.17,13.45     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達34.01%﹝第一款﹞。,111.04.15,61.90     ,1238.00   
59,1435,中福,12,最近六個營業日累積收盤價漲幅達46.28%﹝第一款﹞。,111.04.14,63.40     ,1268.00   
59,1435,中福,12,最近六個營業日累積收盤價跌幅達38.71%﹝第一款﹞。,111.04.06,40.85     ,817.00    
59,1435,中福,12,最近六個營業日累積收盤價跌幅達34.53%﹝第一款﹞。,111.04.01,43.65     ,873.00    
59,1435,中福,12,最近六個營業日累積收盤價漲幅達32.11%﹝第一款﹞。,111.03.04,57.30     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達51.95%﹝第一款﹞。且03月03日玉山證券商買進之比率為75.39%。且03月03日富邦證券商賣出之比率為64.76%﹝第五款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達111.29% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達134.68% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達163.35% ﹝第二款﹞。,111.03.03,63.60     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達33.92%﹝第一款﹞。,111.03.02,58.30     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達33.73%﹝第一款﹞。,111.03.01,53.00     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達33.72%﹝第一款﹞。且02月25日之成交量為最近六十個營業日日平均成交量之8.88倍﹝第三款﹞。,111.02.25,48.20     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達40.73%﹝第一款﹞。且02月24日之成交量為最近六十個營業日日平均成交量之8.48倍﹝第三款﹞。且02月24日元富證券商買進之比率為55.95%﹝第五款﹞。,111.02.24,46.80     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達32.01%﹝第一款﹞。且02月23日之成交量為最近六十個營業日日平均成交量之5.16倍﹝第三款﹞。,111.02.23,42.55     ,-----     
59,1435,中福,12,最近六個營業日累積收盤價漲幅達33.96%﹝第一款﹞。,111.02.21,42.50     ,-----     
60,1436,華友聯,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.95倍。當日之成交量較最近六十個營業日之平均成交量放大為 30.68倍﹝第九款﹞。,111.03.29,60.50     ,11.96     
61,1437,勤益控,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.09倍。當日之成交量較最近六十個營業日之平均成交量放大為 19.14倍﹝第九款﹞。,111.12.07,26.00     ,12.81     
61,1437,勤益控,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.94倍。當日之成交量較最近六十個營業日之平均成交量放大為 13.84倍﹝第九款﹞。,111.01.17,29.60     ,13.16     
61,1437,勤益控,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.91倍。當日之成交量較最近六十個營業日之平均成交量放大為 16.02倍﹝第九款﹞。,111.01.12,28.35     ,12.60     
62,1439,雋揚,2,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為8.29倍。當日之成交量較最近六十個營業日之平均成交量放大為 23.50倍﹝第九款﹞。,111.10.28,21.35     ,12.94     
62,1439,雋揚,2,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.40倍。當日之成交量較最近六十個營業日之平均成交量放大為 30.67倍﹝第九款﹞。,111.10.26,23.85     ,14.45     
63,1442,名軒,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.43倍。當日之成交量較最近六十個營業日之平均成交量放大為 17.52倍﹝第九款﹞。,111.08.25,26.45     ,23.20     
64,1443,立益,3,最近六個營業日累積收盤價漲幅達26.90%。且08月17日之成交量為最近六十個營業日日平均成交量之15.71 倍﹝第三款﹞。,111.08.17,21.25     ,9.49      
64,1443,立益,3,最近六個營業日累積收盤價漲幅達26.25%。且08月16日之成交量為最近六十個營業日日平均成交量之21.27 倍﹝第三款﹞。,111.08.16,21.05     ,9.40      
